Rank,Language
1,Mandarin
2,Spanish
3,English
4,Hindi
5,Arabic
6,Portuguese
7,Bengali
8,Russian
9,Japanese
10,Punjabi
11,German
12,Javanese
13,Wu (inc. Shanghainese)
14,Malay/Indonesian
15,Telugu
16,Vietnamese
17,Korean
18,French
19,Marathi
20,Tamil
21,Urdu
22,Turkish
23,Italian
24,Yue (Cantonese)
25,Thai
26,Gujarati
27,Jin
28,Southern Min
29,Persian
30,Polish
31,Pashto
32,Kannada
33,Xiang (Hunnanese)
34,Malayalam
35,Sundanese
36,Hausa
37,Odia (Oriya)
38,Burmese
39,Hakka
40,Ukrainian
41,Bhojpuri
42,Tagalog
43,Yoruba
44,Maithili
45,Uzbek
46,Sindhi
47,Amharic
48,Fula
49,Romanian
50,Oromo
51,Igbo
52,Azerbaijani
53,Awadhi
54,Gan Chinese
55,Cebuano (Visayan)
56,Dutch
57,Kurdish
58,Serbo-Croatian
59,Malagasy
60,Saraiki
61,Nepali
62,Sinhalese
63,Chittagonian
64,Zhuang
65,Khmer
66,Turkmen
67,Assamese
68,Madurese
69,Somali
70,Marwari
71,Magahi
72,Haryanvi
73,Hungarian
74,Chhattisgarhi
75,Greek
76,Chewa
77,Deccan
78,Akan
79,Kazakh
80,Northern Min
81,Sylheti
82,Zulu
83,Czech
84,Kinyarwanda
85,Dhundhari
86,Haitian Creole
87,Eastern Min
88,Ilocano
89,Quechua
90,Kirundi
91,Swedish
92,Hmong
93,Shona
94,Uyghur
95,Hiligaynon
96,Mossi
97,Xhosa
98,Belarusian
99,Balochi
100,Konkani
,
